player_id,name_last,name_first,link,link_title,name_full_commas,teams_list,first_year,last_year
patts002,Patterson,Stephen,https://afltables.com/afl/stats/players/S/Stephen_Patterson.html,Collingwood (1995-2000),"Patterson, Stephen",['Collingwood (1995-2000)'],1995,2000
patta103,Pattinson,Artie,https://afltables.com/afl/stats/players/A/Artie_Pattinson.html,St Kilda (1909),"Pattinson, Artie",['St Kilda (1909)'],1909,1909
pattb103,Pattinson,Bob,https://afltables.com/afl/stats/players/B/Bob_Pattinson.html,North Melbourne (1957),"Pattinson, Bob",['North Melbourne (1957)'],1957,1957
pattg102,Pattinson,George,https://afltables.com/afl/stats/players/G/George_Pattinson.html,Essendon (1934-1942),"Pattinson, George",['Essendon (1934-1942)'],1934,1942
patta004,Pattison,Adam,https://afltables.com/afl/stats/players/A/Adam_Pattison.html,"Richmond (2005-2009), St Kilda (2010)","Pattison, Adam","['Richmond (2005-2009)', ' St Kilda (2010)']",2005,2010
patta102,Pattison,Andy,https://afltables.com/afl/stats/players/A/Andy_Pattison.html,"Carlton (1908-1909), Fitzroy (1910-1911), Richmond (1912)","Pattison, Andy","['Carlton (1908-1909)', ' Fitzroy (1910-1911)', ' Richmond (1912)']",1908,1912
pattf102,Pattison,Frank,https://afltables.com/afl/stats/players/F/Frank_Pattison.html,St Kilda (1951),"Pattison, Frank",['St Kilda (1951)'],1951,1951
pattg101,Pattison,George,https://afltables.com/afl/stats/players/G/George_Pattison.html,Fitzroy (1914-1917),"Pattison, George",['Fitzroy (1914-1917)'],1914,1917
pattj004,Patton,Jonathon,https://afltables.com/afl/stats/players/J/Jonathon_Patton.html,Greater Western Sydney (2012-2018),"Patton, Jonathon",['Greater Western Sydney (2012-2018)'],2012,2018
pattl101,Patton,Les,https://afltables.com/afl/stats/players/L/Les_Patton.html,Richmond (1936-1937),"Patton, Les",['Richmond (1936-1937)'],1936,1937
pattr101,Patton,Reuben,https://afltables.com/afl/stats/players/R/Reuben_Patton.html,University (1914),"Patton, Reuben",['University (1914)'],1914,1914
paulj101,Paul,Joe,https://afltables.com/afl/stats/players/J/Joe_Paul.html,North Melbourne (1926-1930),"Paul, Joe",['North Melbourne (1926-1930)'],1926,1930
paull101,Paul,Laurie,https://afltables.com/afl/stats/players/L/Laurie_Paul.html,Melbourne (1899-1902),"Paul, Laurie",['Melbourne (1899-1902)'],1899,1902
paveb101,Pavey,Bill,https://afltables.com/afl/stats/players/B/Bill_Pavey.html,Hawthorn (1937-1945),"Pavey, Bill",['Hawthorn (1937-1945)'],1937,1945
pavlm001,Pavlich,Matthew,https://afltables.com/afl/stats/players/M/Matthew_Pavlich.html,Fremantle (2000-2016),"Pavlich, Matthew",['Fremantle (2000-2016)'],2000,2016
pavlc101,Pavlou,Chris,https://afltables.com/afl/stats/players/C/Chris_Pavlou.html,Carlton (1958-1961),"Pavlou, Chris",['Carlton (1958-1961)'],1958,1961
pavom101,Pavone,Mick,https://afltables.com/afl/stats/players/M/Mick_Pavone.html,Sydney (1970-1971),"Pavone, Mick",['Sydney (1970-1971)'],1970,1971
paxms001,Paxman,Stephen,https://afltables.com/afl/stats/players/S/Stephen_Paxman.html,"Fitzroy (1991-1996), Port Adelaide (1997-2003)","Paxman, Stephen","['Fitzroy (1991-1996)', ' Port Adelaide (1997-2003)']",1991,2003
payk101,Pay,Kevin,https://afltables.com/afl/stats/players/K/Kevin_Pay.html,Collingwood (1960-1962),"Pay, Kevin",['Collingwood (1960-1962)'],1960,1962
paynb102,Payne,Bill,https://afltables.com/afl/stats/players/B/Bill_Payne.html,Fitzroy (1909-1910),"Payne, Bill",['Fitzroy (1909-1910)'],1909,1910
paynb101,Payne,Billy,https://afltables.com/afl/stats/players/B/Billy_Payne.html,Carlton (1904-1912),"Payne, Billy",['Carlton (1904-1912)'],1904,1912
paynb103,Payne,Burnie,https://afltables.com/afl/stats/players/B/Burnie_Payne.html,St Kilda (1964),"Payne, Burnie",['St Kilda (1964)'],1964,1964
paync101,Payne,Charlie,https://afltables.com/afl/stats/players/C/Charlie_Payne.html,Essendon (1962-1972),"Payne, Charlie",['Essendon (1962-1972)'],1962,1972
paynd002,Payne,Darren,https://afltables.com/afl/stats/players/D/Darren_Payne.html,Fitzroy (1993-1995),"Payne, Darren",['Fitzroy (1993-1995)'],1993,1995
paynd101,Payne,Dennis,https://afltables.com/afl/stats/players/D/Dennis_Payne.html,Melbourne (1974),"Payne, Dennis",['Melbourne (1974)'],1974,1974
payne101,Payne,Ernie,https://afltables.com/afl/stats/players/E/Ernie_Payne.html,Sydney (1954),"Payne, Ernie",['Sydney (1954)'],1954,1954
paynf101,Payne,Fred,https://afltables.com/afl/stats/players/F/Fred_Payne.html,Essendon (1949-1953),"Payne, Fred",['Essendon (1949-1953)'],1949,1953
payng101,Payne,George,https://afltables.com/afl/stats/players/G/George_Payne.html,Sydney (1914-1917),"Payne, George",['Sydney (1914-1917)'],1914,1917
payng102,Payne,Glenn,https://afltables.com/afl/stats/players/G/Glenn_Payne.html,North Melbourne (1978-1981),"Payne, Glenn",['North Melbourne (1978-1981)'],1978,1981
payni101,Payne,Ian,https://afltables.com/afl/stats/players/I/Ian_Payne.html,Essendon (1965-1971),"Payne, Ian",['Essendon (1965-1971)'],1965,1971
paynj101,Payne,John,https://afltables.com/afl/stats/players/J/John_Payne.html,Sydney (1971),"Payne, John",['Sydney (1971)'],1971,1971
paynk101,Payne,Kelvin,https://afltables.com/afl/stats/players/K/Kelvin_Payne.html,Western Bulldogs (1957-1964),"Payne, Kelvin",['Western Bulldogs (1957-1964)'],1957,1964
paynp001,Payne,Paul,https://afltables.com/afl/stats/players/P/Paul_Payne.html,"Melbourne (1985-1988), Carlton (1989)","Payne, Paul","['Melbourne (1985-1988)', ' Carlton (1989)']",1985,1989
